path,bytes,human
C:\Users\enoch\Videos\ProxyMedia\PS5\CREATE\Video Clips\MY HERO ULTRA RUMBLE\MY HERO ULTRA RUMBLE_20251018000106.mov,41328220024,38.49 GB
C:\Users\enoch\Videos\Hunting Down Rapid Deku.mp4,2121229522,1.98 GB
"C:\Users\enoch\Videos\Fine, I'll Do It Myself.mp4",1987979203,1.85 GB
"C:\Users\enoch\Videos\Fine, I'll Do It Myself-Proper Short.mp4",105309068,100.43 MB
C:\Users\enoch\Videos\CacheClip\audio\fairlightProfiles\b\FLP_22dbf030-7420-4c90-848c-4f5392db7c4b_80004002.pfl,3348284,3.19 MB
C:\Users\enoch\Videos\CacheClip\audio\fairlightProfiles\b\FLP_22dbf030-7420-4c90-848c-4f5392db7c4b_80004001.pfl,3348284,3.19 MB
C:\Users\enoch\Videos\CacheClip\audio\C_\Users\enoch\Videos\My Hero Ultra Rumble 202509152021300_1.mp4.pfl,3281108,3.13 MB
C:\Users\enoch\Videos\CacheClip\audio\C_\Users\enoch\Videos\My Hero Ultra Rumble 202509152021300_0.mp4.pfl,3281108,3.13 MB
C:\Users\enoch\Videos\CacheClip\audio\D_\PS5\CREATE\Video Clips\MY HERO ULTRA RUMBLE\MY HERO ULTRA RUMBLE_202509290221500_1.mp4.pfl,3228516,3.08 MB
C:\Users\enoch\Videos\CacheClip\audio\D_\PS5\CREATE\Video Clips\MY HERO ULTRA RUMBLE\MY HERO ULTRA RUMBLE_202509290221500_0.mp4.pfl,3228516,3.08 MB
C:\Users\enoch\Videos\CacheClip\audio\C_\Users\enoch\Videos\ProxyMedia\PS5\CREATE\Video Clips\MY HERO ULTRA RUMBLE\MY HERO ULTRA RUMBLE_202509290221500_1.mov.pfl,3228516,3.08 MB
C:\Users\enoch\Videos\CacheClip\audio\C_\Users\enoch\Videos\ProxyMedia\PS5\CREATE\Video Clips\MY HERO ULTRA RUMBLE\MY HERO ULTRA RUMBLE_202509290221500_0.mov.pfl,3228516,3.08 MB
C:\Users\enoch\Videos\CacheClip\audio\fairlightProfiles\5\FLP_6d406c05-8532-495a-a5bb-a3f2f0d5b225_80004002.pfl,3218740,3.07 MB
C:\Users\enoch\Videos\CacheClip\audio\fairlightProfiles\5\FLP_6d406c05-8532-495a-a5bb-a3f2f0d5b225_80004001.pfl,3218740,3.07 MB
C:\Users\enoch\Videos\CacheClip\audio\D_\PS5\CREATE\Video Clips\MY HERO ULTRA RUMBLE\MY HERO ULTRA RUMBLE_202510180001060_1.mp4.pfl,2802388,2.67 MB
C:\Users\enoch\Videos\CacheClip\audio\D_\PS5\CREATE\Video Clips\MY HERO ULTRA RUMBLE\MY HERO ULTRA RUMBLE_202510180001060_0.mp4.pfl,2802388,2.67 MB
C:\Users\enoch\Videos\CacheClip\audio\D_\PS5\CREATE\Video Clips\MY HERO ULTRA RUMBLE\MY HERO ULTRA RUMBLE_202510111550350_1.mp4.pfl,2291636,2.19 MB
C:\Users\enoch\Videos\CacheClip\audio\D_\PS5\CREATE\Video Clips\MY HERO ULTRA RUMBLE\MY HERO ULTRA RUMBLE_202510111550350_0.mp4.pfl,2291636,2.19 MB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000180.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000179.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000178.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000177.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000176.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000175.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000174.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000173.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000172.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000171.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000170.dvcc,917504,896.00 KB
C:\Users\enoch\Videos\CacheClip\OptimizedMedia\b6cc9429eff180d906301c184ee0ffb5\b4b147bc522828731f1a016bfa72c073\0000000169.dvcc,917504,896.00 KB
